,"PRICE RECEIVED, MEASURED IN $ / BU",Cooling Degree Days,Heating Degree Days,Precipitation,Palmer Drought Severity Index (PDSI),Average Temperature,Maximum Temperature,Minimum Temperature,USPop,Inflation Rate,GDP,GDP_PCH,baseline
1950-01-01,1.15,23,786,3.36,0.54,30.43,41.32,19.56,149877500.0,0.004916666666666666,91.48599999999999,1.2564633333333333,1.15
1950-02-01,1.16,11,731,2.23,0.70,35.55,47.10,24.01,150095000.0,0.004916666666666666,92.54766666666666,1.2564633333333333,1.15
1950-03-01,1.19,12,710,2.49,0.81,38.84,50.52,27.16,150312500.0,0.004916666666666666,93.60933333333332,1.2564633333333333,1.15
1950-04-01,1.26,21,428,2.08,0.64,48.65,61.18,36.12,150530000.0,0.004916666666666666,94.67099999999999,1.1341466666666666,1.15
1950-05-01,1.34,106,177,2.88,0.67,59.45,72.27,46.63,150747500.0,0.004916666666666666,95.73266666666666,1.1341466666666666,1.1549999999999998
1950-06-01,1.36,197,46,2.80,0.62,67.93,81.16,54.70,150965000.0,0.004916666666666666,96.79433333333333,1.1341466666666666,1.1666666666666667
1950-07-01,1.44,263,14,3.86,1.93,71.22,83.62,58.80,151182500.0,0.004916666666666666,98.76877777777777,2.0398333333333336,1.19
1950-08-01,1.44,238,24,2.55,2.34,70.02,83.53,56.50,151400000.0,0.004916666666666666,100.74322222222223,2.0398333333333336,1.22
1950-09-01,1.44,125,96,2.69,2.57,63.50,75.52,51.48,151617500.0,0.004916666666666666,102.71766666666667,2.0398333333333336,1.2433333333333334
1950-10-01,1.37,72,214,1.90,1.89,57.47,70.72,44.20,151835000.0,0.004916666666666666,104.02788888888888,1.2755566666666667,1.2714285714285716
1950-11-01,1.37,9,594,2.10,1.77,40.64,52.65,28.62,152052500.0,0.004916666666666666,105.33811111111112,1.2755566666666667,1.2925
1950-12-01,1.45,3,892,1.93,1.46,33.01,43.75,22.28,152270000.0,0.004916666666666666,106.64833333333333,1.2755566666666667,1.3088888888888888
1951-01-01,1.54,6,890,2.34,1.47,30.20,41.14,19.26,152487500.0,0.005,108.43222222222222,1.6726833333333333,1.315
1951-02-01,1.6,5,743,2.27,1.61,34.54,46.08,23.00,152705000.0,0.005,110.2161111111111,1.6726833333333333,1.32
1951-03-01,1.6,14,654,2.60,1.77,38.55,50.09,27.03,152922500.0,0.005,112.0,1.6726833333333333,1.3308333333333333
1951-04-01,1.62,22,378,2.35,1.63,49.73,62.06,37.40,153140000.0,0.005,112.89888888888889,0.80258,1.3469230769230771
1951-05-01,1.64,95,150,2.37,0.92,60.76,74.01,47.53,153357500.0,0.005,113.79777777777777,0.80258,1.365
1951-06-01,1.62,194,52,3.44,1.54,66.65,79.32,53.96,153575000.0,0.005,114.69666666666666,0.80258,1.3806666666666667
1951-07-01,1.63,314,9,2.85,1.65,73.69,86.90,60.46,153792500.0,0.005,115.50722222222221,0.7066933333333334,1.3956250000000001
1951-08-01,1.65,287,22,2.61,1.63,71.89,84.87,58.89,154010000.0,0.005,116.31777777777778,0.7066933333333334,1.41
1951-09-01,1.65,155,84,2.57,1.65,64.09,77.43,50.76,154227500.0,0.005,117.12833333333333,0.7066933333333334,1.4216666666666666
1951-10-01,1.64,59,252,2.30,1.68,54.00,66.00,41.97,154445000.0,0.005,117.66088888888889,0.4546766666666667,1.4326315789473683
1951-11-01,1.61,7,672,2.43,1.96,38.08,48.96,27.21,154662500.0,0.005,118.19344444444444,0.4546766666666667,1.4435
1951-12-01,1.68,10,838,3.12,2.70,31.23,41.38,21.07,154880000.0,0.005,118.726,0.4546766666666667,1.4533333333333334
1952-01-01,1.68,14,830,2.44,3.20,32.00,42.28,21.70,155102500.0,0.0006666666666666666,119.13066666666667,0.34084000000000003,1.4618181818181817
1952-02-01,1.65,7,698,2.00,2.86,35.46,46.22,24.67,155325000.0,0.0006666666666666666,119.53533333333333,0.34084000000000003,1.4682608695652175
1952-03-01,1.65,14,693,2.93,3.29,37.69,48.24,27.14,155547500.0,0.0006666666666666666,119.94,0.34084000000000003,1.4770833333333335
1952-04-01,1.68,19,338,2.40,-0.13,51.66,64.53,38.79,155770000.0,0.0006666666666666666,120.07444444444444,0.11209333333333334,1.4852
1952-05-01,1.7,96,168,2.69,-0.34,60.58,73.71,47.46,155992500.0,0.0006666666666666666,120.2088888888889,0.11209333333333334,1.4915384615384615
1952-06-01,1.73,270,39,2.20,-1.19,70.75,84.04,57.45,156215000.0,0.0006666666666666666,120.34333333333332,0.11209333333333334,1.4974074074074073
1952-07-01,1.73,355,6,2.39,-1.84,74.10,87.85,60.35,156437500.0,0.0006666666666666666,121.08455555555555,0.6159233333333333,1.5039285714285715
1952-08-01,1.73,294,15,2.62,-2.02,72.82,86.16,59.49,156660000.0,0.0006666666666666666,121.82577777777777,0.6159233333333333,1.5106896551724138
1952-09-01,1.71,152,64,1.53,-2.93,65.89,80.42,51.37,156882500.0,0.0006666666666666666,122.56700000000001,0.6159233333333333,1.518
1952-10-01,1.53,37,342,0.54,-3.99,52.95,68.67,37.24,157105000.0,0.0006666666666666666,124.0237777777778,1.1885566666666667,1.5248387096774192
1952-11-01,1.45,10,576,2.15,-3.96,39.92,51.46,28.38,157327500.0,0.0006666666666666666,125.48055555555555,1.1885566666666667,1.53125
1952-12-01,1.5,4,818,2.45,-4.06,33.44,42.76,24.12,157550000.0,0.0006666666666666666,126.93733333333334,1.1885566666666667,1.5366666666666666
1953-01-01,1.48,9,775,2.64,-3.97,36.43,46.85,26.01,157769166.66666666,0.0005833333333333334,127.73377777777779,0.62743,1.5364705882352943
1953-02-01,1.43,7,689,2.06,-3.53,35.87,47.21,24.51,157988333.33333334,0.0005833333333333334,128.53022222222222,0.62743,1.534
1953-03-01,1.46,25,577,2.61,-3.30,43.75,55.35,32.16,158207500.0,0.0005833333333333334,129.32666666666668,0.62743,1.5330555555555554
1953-04-01,1.46,26,398,2.96,-2.21,48.76,60.76,36.75,158426666.66666666,0.0005833333333333334,129.74544444444444,0.32381333333333334,1.5422222222222224
1953-05-01,1.49,118,162,3.26,-1.50,59.18,71.35,46.99,158645833.33333334,0.0005833333333333334,130.16422222222224,0.32381333333333334,1.5497222222222222
1953-06-01,1.46,254,42,2.54,-1.80,70.18,83.37,56.98,158865000.0,0.0005833333333333334,130.583,0.32381333333333334,1.5572222222222223
1953-07-01,1.47,330,7,2.65,-1.76,74.17,87.46,60.87,159084166.66666666,0.0005833333333333334,130.51877777777779,-0.04918,1.5627777777777778
1953-08-01,1.48,279,15,2.29,-1.98,72.10,85.59,58.62,159303333.33333334,0.0005833333333333334,130.45455555555557,-0.04918,1.5669444444444443
1953-09-01,1.5,161,60,1.50,-2.90,66.16,81.37,50.94,159522500.0,0.0005833333333333334,130.39033333333333,-0.04918,1.5697222222222222
1953-10-01,1.34,51,230,1.51,-3.38,56.21,70.34,42.08,159741666.66666666,0.0005833333333333334,129.81244444444445,-0.4432,1.5705555555555555
1953-11-01,1.33,10,526,1.79,-3.91,43.88,55.58,32.18,159960833.33333334,0.0005833333333333334,129.23455555555554,-0.4432,1.5716666666666665
1953-12-01,1.41,6,796,2.50,-4.15,33.69,43.95,23.41,160180000.0,0.0005833333333333334,128.65666666666667,-0.4432,1.5733333333333333
1954-01-01,1.42,9,905,2.54,-4.14,30.90,41.74,20.07,160417500.0,-0.0005833333333333334,128.58722222222224,-0.053976666666666666,1.5725
